Sample	Moss	Chamber	Microbe	Week	TotalArea
Fallax.0C.0M.rep1	Fallax	0C	0M	Week.0	0.0384432
Fallax.0C.0M.rep10	Fallax	0C	0M	Week.0	0.04996365
Fallax.0C.0M.rep11	Fallax	0C	0M	Week.0	0.1213395
Fallax.0C.0M.rep12	Fallax	0C	0M	Week.0	0.01239912
Fallax.0C.0M.rep2	Fallax	0C	0M	Week.0	0.04323434
Fallax.0C.0M.rep3	Fallax	0C	0M	Week.0	0.0321344
Fallax.0C.0M.rep4	Fallax	0C	0M	Week.0	0.03708705
Fallax.0C.0M.rep5	Fallax	0C	0M	Week.0	0.0413532
Fallax.0C.0M.rep6	Fallax	0C	0M	Week.0	0.0561058
Fallax.0C.0M.rep7	Fallax	0C	0M	Week.0	0.1135296
Fallax.0C.0M.rep8	Fallax	0C	0M	Week.0	0.02275614
Fallax.0C.0M.rep9	Fallax	0C	0M	Week.0	0.02644656
Fallax.0C.4.5M.rep1	Fallax	0C	4.5M	Week.0	0.10725372
Fallax.0C.4.5M.rep10	Fallax	0C	4.5M	Week.0	0.18978392
Fallax.0C.4.5M.rep11	Fallax	0C	4.5M	Week.0	0.17812024
Fallax.0C.4.5M.rep12	Fallax	0C	4.5M	Week.0	0.11332464
Fallax.0C.4.5M.rep2	Fallax	0C	4.5M	Week.0	0.219429
Fallax.0C.4.5M.rep3	Fallax	0C	4.5M	Week.0	0.17653744
Fallax.0C.4.5M.rep4	Fallax	0C	4.5M	Week.0	0.07148736
Fallax.0C.4.5M.rep5	Fallax	0C	4.5M	Week.0	0.17928172
Fallax.0C.4.5M.rep6	Fallax	0C	4.5M	Week.0	0.24746148
Fallax.0C.4.5M.rep7	Fallax	0C	4.5M	Week.0	0.19021064
Fallax.0C.4.5M.rep8	Fallax	0C	4.5M	Week.0	0.13703808
Fallax.0C.4.5M.rep9	Fallax	0C	4.5M	Week.0	0.17799584
Fallax.0C.9M.rep1	Fallax	0C	9M	Week.0	0.21263475
Fallax.0C.9M.rep10	Fallax	0C	9M	Week.0	0.25044678
Fallax.0C.9M.rep11	Fallax	0C	9M	Week.0	0.12303786
Fallax.0C.9M.rep12	Fallax	0C	9M	Week.0	0.25688703
Fallax.0C.9M.rep2	Fallax	0C	9M	Week.0	0.22943625
Fallax.0C.9M.rep3	Fallax	0C	9M	Week.0	0.34438725
Fallax.0C.9M.rep4	Fallax	0C	9M	Week.0	0.24141381
Fallax.0C.9M.rep5	Fallax	0C	9M	Week.0	0.19614924
Fallax.0C.9M.rep6	Fallax	0C	9M	Week.0	0.24638319
Fallax.0C.9M.rep7	Fallax	0C	9M	Week.0	0.12882993
Fallax.0C.9M.rep8	Fallax	0C	9M	Week.0	0.23803164
Fallax.0C.9M.rep9	Fallax	0C	9M	Week.0	0.17521635
Fallax.0C.ControlM.rep1	Fallax	0C	Control	Week.0	0.17622684
Fallax.0C.ControlM.rep10	Fallax	0C	Control	Week.0	0.04797744
Fallax.0C.ControlM.rep11	Fallax	0C	Control	Week.0	0.10105608
Fallax.0C.ControlM.rep12	Fallax	0C	Control	Week.0	0.10951884
Fallax.0C.ControlM.rep2	Fallax	0C	Control	Week.0	0.11125848
Fallax.0C.ControlM.rep3	Fallax	0C	Control	Week.0	0.03606156
Fallax.0C.ControlM.rep4	Fallax	0C	Control	Week.0	0.14388979
Fallax.0C.ControlM.rep5	Fallax	0C	Control	Week.0	0.0309669
Fallax.0C.ControlM.rep6	Fallax	0C	Control	Week.0	0.1096758
Fallax.0C.ControlM.rep7	Fallax	0C	Control	Week.0	0.16648878
Fallax.0C.ControlM.rep8	Fallax	0C	Control	Week.0	0.084366
Fallax.0C.ControlM.rep9	Fallax	0C	Control	Week.0	0.08954568
Fallax.4.5C.0M.rep1	Fallax	4.5C	0M	Week.0	0.01395852
Fallax.4.5C.0M.rep10	Fallax	4.5C	0M	Week.0	0.13143315
Fallax.4.5C.0M.rep11	Fallax	4.5C	0M	Week.0	0.15114948
Fallax.4.5C.0M.rep12	Fallax	4.5C	0M	Week.0	0.10136724
Fallax.4.5C.0M.rep2	Fallax	4.5C	0M	Week.0	0.05470252
Fallax.4.5C.0M.rep3	Fallax	4.5C	0M	Week.0	0.0093312
Fallax.4.5C.0M.rep4	Fallax	4.5C	0M	Week.0	0.04490733
Fallax.4.5C.0M.rep5	Fallax	4.5C	0M	Week.0	0.111188
Fallax.4.5C.0M.rep6	Fallax	4.5C	0M	Week.0	0.08092392
Fallax.4.5C.0M.rep7	Fallax	4.5C	0M	Week.0	0.05488644
Fallax.4.5C.0M.rep8	Fallax	4.5C	0M	Week.0	0.05226375
Fallax.4.5C.0M.rep9	Fallax	4.5C	0M	Week.0	0.08874792
Fallax.4.5C.4.5M.rep1	Fallax	4.5C	4.5M	Week.0	0.17709954
Fallax.4.5C.4.5M.rep10	Fallax	4.5C	4.5M	Week.0	0.18695274
Fallax.4.5C.4.5M.rep11	Fallax	4.5C	4.5M	Week.0	0.15195824
Fallax.4.5C.4.5M.rep12	Fallax	4.5C	4.5M	Week.0	0.1748552
Fallax.4.5C.4.5M.rep2	Fallax	4.5C	4.5M	Week.0	0.18452854
Fallax.4.5C.4.5M.rep3	Fallax	4.5C	4.5M	Week.0	0.1649238
Fallax.4.5C.4.5M.rep4	Fallax	4.5C	4.5M	Week.0	0.1962429
Fallax.4.5C.4.5M.rep5	Fallax	4.5C	4.5M	Week.0	0.07698008
Fallax.4.5C.4.5M.rep6	Fallax	4.5C	4.5M	Week.0	0.22863334
Fallax.4.5C.4.5M.rep7	Fallax	4.5C	4.5M	Week.0	0.14305908
Fallax.4.5C.4.5M.rep8	Fallax	4.5C	4.5M	Week.0	0.1344649
Fallax.4.5C.4.5M.rep9	Fallax	4.5C	4.5M	Week.0	0.34484636
Fallax.4.5C.9M.rep1	Fallax	4.5C	9M	Week.0	0.12026378
Fallax.4.5C.9M.rep10	Fallax	4.5C	9M	Week.0	0.17580924
Fallax.4.5C.9M.rep11	Fallax	4.5C	9M	Week.0	0.11206842
Fallax.4.5C.9M.rep12	Fallax	4.5C	9M	Week.0	0.08744324
Fallax.4.5C.9M.rep2	Fallax	4.5C	9M	Week.0	0.23251206
Fallax.4.5C.9M.rep3	Fallax	4.5C	9M	Week.0	0.1526073
Fallax.4.5C.9M.rep4	Fallax	4.5C	9M	Week.0	0.10074506
Fallax.4.5C.9M.rep5	Fallax	4.5C	9M	Week.0	0.1513952
Fallax.4.5C.9M.rep6	Fallax	4.5C	9M	Week.0	0.2032418
Fallax.4.5C.9M.rep7	Fallax	4.5C	9M	Week.0	0.09166604
Fallax.4.5C.9M.rep8	Fallax	4.5C	9M	Week.0	0.13382366
Fallax.4.5C.9M.rep9	Fallax	4.5C	9M	Week.0	0.11317104
Fallax.4.5C.ControlM.rep1	Fallax	4.5C	Control	Week.0	0.0855228
Fallax.4.5C.ControlM.rep10	Fallax	4.5C	Control	Week.0	0.4292085
Fallax.4.5C.ControlM.rep11	Fallax	4.5C	Control	Week.0	0.10228223
Fallax.4.5C.ControlM.rep12	Fallax	4.5C	Control	Week.0	0.36324698
Fallax.4.5C.ControlM.rep2	Fallax	4.5C	Control	Week.0	0.1412554
Fallax.4.5C.ControlM.rep3	Fallax	4.5C	Control	Week.0	0.3277638
Fallax.4.5C.ControlM.rep4	Fallax	4.5C	Control	Week.0	0.36981721
Fallax.4.5C.ControlM.rep5	Fallax	4.5C	Control	Week.0	0.04947114
Fallax.4.5C.ControlM.rep6	Fallax	4.5C	Control	Week.0	0.33057529
Fallax.4.5C.ControlM.rep7	Fallax	4.5C	Control	Week.0	0.08197334
Fallax.4.5C.ControlM.rep8	Fallax	4.5C	Control	Week.0	0.05161469
Fallax.4.5C.ControlM.rep9	Fallax	4.5C	Control	Week.0	0.40297743
Fallax.9C.0M.rep1	Fallax	9C	0M	Week.0	0.08722098
Fallax.9C.0M.rep10	Fallax	9C	0M	Week.0	0.20599248
Fallax.9C.0M.rep11	Fallax	9C	0M	Week.0	0.06864244
Fallax.9C.0M.rep12	Fallax	9C	0M	Week.0	0.16436972
Fallax.9C.0M.rep2	Fallax	9C	0M	Week.0	0.106865
Fallax.9C.0M.rep3	Fallax	9C	0M	Week.0	0.02448644
Fallax.9C.0M.rep4	Fallax	9C	0M	Week.0	0.05960834
Fallax.9C.0M.rep5	Fallax	9C	0M	Week.0	0.09270778
Fallax.9C.0M.rep6	Fallax	9C	0M	Week.0	0.10531466
Fallax.9C.0M.rep7	Fallax	9C	0M	Week.0	0.1727385
Fallax.9C.0M.rep8	Fallax	9C	0M	Week.0	0.02838462
Fallax.9C.0M.rep9	Fallax	9C	0M	Week.0	0.1966104
Fallax.9C.4.5M.rep1	Fallax	9C	4.5M	Week.0	0.15424839
Fallax.9C.4.5M.rep10	Fallax	9C	4.5M	Week.0	0.04418568
Fallax.9C.4.5M.rep11	Fallax	9C	4.5M	Week.0	0.24113235
Fallax.9C.4.5M.rep12	Fallax	9C	4.5M	Week.0	0.12076941
Fallax.9C.4.5M.rep2	Fallax	9C	4.5M	Week.0	0.10730832
Fallax.9C.4.5M.rep3	Fallax	9C	4.5M	Week.0	0.16487412
Fallax.9C.4.5M.rep4	Fallax	9C	4.5M	Week.0	0.36549466
Fallax.9C.4.5M.rep5	Fallax	9C	4.5M	Week.0	0.13099708
Fallax.9C.4.5M.rep6	Fallax	9C	4.5M	Week.0	0.20197972
Fallax.9C.4.5M.rep7	Fallax	9C	4.5M	Week.0	0.27361807
Fallax.9C.4.5M.rep8	Fallax	9C	4.5M	Week.0	0.18145299
Fallax.9C.4.5M.rep9	Fallax	9C	4.5M	Week.0	0.13427059
Fallax.9C.9M.rep1	Fallax	9C	9M	Week.0	0.2468309
Fallax.9C.9M.rep10	Fallax	9C	9M	Week.0	0.16556081
Fallax.9C.9M.rep11	Fallax	9C	9M	Week.0	0.23102639
Fallax.9C.9M.rep12	Fallax	9C	9M	Week.0	0.15562222
Fallax.9C.9M.rep2	Fallax	9C	9M	Week.0	0.13754626
Fallax.9C.9M.rep3	Fallax	9C	9M	Week.0	0.15080037
Fallax.9C.9M.rep4	Fallax	9C	9M	Week.0	0.08747075
Fallax.9C.9M.rep5	Fallax	9C	9M	Week.0	0.12826121
Fallax.9C.9M.rep6	Fallax	9C	9M	Week.0	0.29446759
Fallax.9C.9M.rep7	Fallax	9C	9M	Week.0	0.17418435
Fallax.9C.9M.rep8	Fallax	9C	9M	Week.0	0.10957953
Fallax.9C.9M.rep9	Fallax	9C	9M	Week.0	0.30167247
Fallax.9C.ControlM.rep1	Fallax	9C	Control	Week.0	0.1264656
